"assessid","stockid","country","region","area","method","method1","method2","species","comm_name","b0_true","msy_true","type","class","order","family","genus","taxa_level","linf_cm","vonb_k","winf_kg","tmax_yr","tmat_yr","m","lmat_cm","temp_c","habitat","depth_m_mid","migratory","depth_m_min","depth_m_max","comm_depth_m_min","comm_depth_m_max","troph","feeding","repro_mode","spawning","repro_guild1","repro_guild2","spawning_ground","lmax_cm","wmax_kg","lme_name","fao_area","long_dd","lat_dd","lat_dd_abs","area_sqkm","n","yr1","yr2","sst_c_avg","sst_c_median","sst_c_trend","tb_max","tb_avg","tb_trend","tb_sd_trend","catch_avg","bbmsy_n","bbmsy_avg","ffmsy_n","ffmsy_avg","sst_c_avg2","sst_c_trend2","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi","rho","rho_se","rho_lo","rho_hi"
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,NA,18,950,NA,NA,4.05,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA,"East Bering Sea",67,-169.6445003,56.74573122,56.74573122,372021.1683,34,1976,2009,5.11656985001907,5.06714151278486,0.00660386346781213,1050000,574147.058823529,24683.4224598924,0.0235080213903737,12937.3529411765,34,1.58502941176471,34,0.163629411764706,4.91877482997256,0.00452631680494866,0.0901246613332464,0.0227287112468642,0.0549760522936444,0.147745322582418,0.484770494698112,0.0611034135099078,0.378654918037275,0.620624271164803,-0.197280825634681,0.0892703369497511,-0.372250686056193,-0.0223109652131683,"negative",0.00420712441151659,0.000521940923376615,0.00329900007572342,0.00536523049642475,1.06601747437395,0.0160937948616465,1.03447363644512,1.09756131230277
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","USA","US Alaska","Gulf of Alaska","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Atheresthes stomias","Arrowtooth flounder",NA,254271,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,NA,18,950,NA,NA,4.05,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA,"Gulf of Alaska",67,-151.3650363,57.11169575,57.11169575,331532.6396,46,1964,2009,7.39096841607354,7.37635130040786,0.01192848150218,2190000,1231586.95652174,45262.1029910577,0.020667626936556,10979.7391304348,46,1.46382608695652,46,0.0703069565217391,7.41349583822129,0.00183476402523493,0.0702276239929828,0.0378286448681209,0.024433931479164,0.201847139331853,1.0677443131987,0.337059741819479,0.575121543940099,1.98232518044378,-0.00730967166079437,0.11708022134979,-0.236786905506382,0.222167562184794,"none",0.0102499245247042,0.00107167365630146,0.00835068790548116,0.0125811135503189,0.859099261092615,0.105742876507011,0.651843223138872,1.06635529904636
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","ARFLOUNDPCOAST","USA","US West Coast","Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Atheresthes stomias","Arrowtooth flounder",80313,5844,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","species",68.5489097441645,0.119846732300758,3.65077103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,9.3717240578145,"demersal",484,NA,18,950,NA,NA,4.05,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA,"California Current",77,-124.5679201,40.27264218,40.27264218,437002.0125,42,1965,2006,13.283987221058,13.3078559878944,0.00670443014652632,79800,66102.3809523809,349.720444048305,0.00438246170486598,3837.85714285714,42,2.99690476190476,42,0.34847619047619,13.284904399985,-0.000697491038850256,0.384708586466602,0.193972297328243,0.143200074977555,1.03352387576842,1.01325412455709,0.0869420053923218,0.856406415794155,1.1988279186114,0.140161851415795,0.126717656123791,-0.108204754586835,0.388528457418426,"none",0.0310460269643914,0.00343628088558033,0.0249913886847145,0.0385675162926516,0.820571160251972,0.137440743660208,0.551187302677964,1.08995501782598
"INIDEP-ARGHAKENARG-1986-2011-CHING","ARGHAKENARG","Argentina","South America","Northern Argentina","VPA","XSA","Extended Survivor Analysis","Merluccius hubbsi","Argentine hake",NA,NA,"finfish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","species",68.3555589329178,0.221322451046077,2.48657834310537,12.6590119801591,3.67631625241737,0.400870870075933,37.8955779208675,12.3792339027439,"benthopelagic",425,"oceanodromous",50,800,100,200,4.23,"hunting macrofauna (predator)","dioecism","two seasonal peaks per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA,"Patagonian Shelf",41,-57.17239715,-38.93373045,38.93373045,283280.5519,25,1986,2010,14.5281566479765,14.4810061454773,0.0336966743926597,581000,236200,-16203.8461538462,-0.0278895802992189,125064,0,NA,0,NA,14.3874289214002,0.00636136207496447,0.623451975882207,0.060927845892173,0.514773804723718,0.755074097913824,1.28586157717141,0.112705035624282,1.08289292789316,1.52687302045884,-0.0127106182482823,0.123623589154447,-0.255012852990998,0.229591616494433,"none",0.0421147645394689,0.00601552759954757,0.0318309391542729,0.055721051258295,0.298409179856019,0.192609952225,-0.0791063265049805,0.675924686217019
"AFSC-ATKABSAI-1976-2011-STACHURA","ATKABSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Pleurogrammus monopterygius","Atka mackerel",NA,NA,"finfish","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","species",45.4665862657319,0.433781217294873,0.57182873879973,11.5144809928042,3.93400721376365,0.56520880957024,33.8079418909366,8.02428216224085,"demersal",360,NA,0,720,NA,NA,3.64,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year","guarders","nesters",NA,NA,NA,"East Bering Sea",67,-166.5397143,54.51656103,54.51656103,46313.789,33,1977,2009,5.85570635114397,5.87797619899114,0.00212205964706733,710000,449818.181818182,7839.57219251338,0.011041650975371,45418.1818181818,33,1.50954545454545,33,0.425748484848485,5.62324073993059,0.00545593280642145,0.385282553049722,0.129562768555476,0.19931139790562,0.744777505172102,0.947642347673671,0.122321487633568,0.735816485022261,1.22044835551258,-0.0131365972885409,0.151402989041489,-0.30988645580986,0.283613261232778,"none",0.100650233392698,0.0123900517031354,0.0790733035822447,0.12811491392247,-0.0802094023761238,0.203622170830405,-0.479308857203718,0.318890052451471
"SPC-BIGEYEWPO-1952-2006-JENSEN","BIGEYEWPO","multinational","Pacific Ocean","Western Pacific Ocean","Statistical catch at age model","MULTIFAN-CL","A length-based, age and spatially-structured model for fisheries stock assessment","Thunnus obesus","Bigeye tuna",NA,64600,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",200.905020335261,0.188156091541074,90.6544214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,20.9351892315495,"pelagic-oceanic",750,"oceanodromous",0,1500,0,500,4.48,"hunting macrofauna (predator)","dioecism","Variable throughout range","nonguarders","open water/substratum egg scatterers",NA,NA,NA,"South Pacific Ocean",77,-140.6338739,-2.210164951,2.210164951,87038360.95,54,1952,2005,24.6419509010951,24.6209120720003,0.00751507403423868,1e+06,517851.851851852,-11297.5033352392,-0.0112975033352392,68453.7037037037,54,2.07481481481481,54,0.617635185185185,24.6276706812683,0.00523066811480416,0.161327400637206,0.100335908516653,0.0476762854123493,0.545900964625405,1.24838366845796,0.255486355420949,0.835878817178179,1.86445900009012,0.108280331037656,0.176006453088665,-0.236692317016128,0.453252979091439,"none",0.0144503554724496,0.0013909773443096,0.0119657846284222,0.0174508216355628,0.934608621666512,0.0749098676654984,0.787785281042135,1.08143196229089
"CSIRO-BIGHTREDSE-1958-2007-FULTON","BIGHTREDSE","Australia","Australia","Southeast Australia","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Centroberyx gerrardi","Bight redfish",NA,2154.290996,"finfish","Actinopterygii","Beryciformes","Berycidae","Centroberyx","species",30.0096252642524,0.231372841838781,0.350842701216519,9.64748121010863,3.37841838975427,0.51478517083471,17.4512225530556,13.5054073343073,"demersal",255,NA,10,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southeast Australian Shelf",57,136.9560473,-36.86557736,36.86557736,527328.4316,33,1958,1990,16.7362687127441,16.7425565899543,0.0103311257557344,70400,65927.2727272727,293.415775401071,0.00416783771876521,16.3242424242424,33,1.17939393939394,33,0.0140757575757576,16.7104706375835,0.00742649282414624,0.0308074510723516,0.0441000647277741,0.00186277548126642,0.509508016999497,0.890039734921329,0.0604603305774186,0.779087574602455,1.01679291977292,0.110201119290474,0.184084640245402,-0.250604775590514,0.471007014171461,"none",0.00191067902279668,0.000235535847662532,0.00150056676086458,0.00243287697913011,0.96713818745209,0.0531469995652179,0.862970068304263,1.07130630659992
"NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH","BLACKROCKNPCOAST","USA","US West Coast","Northern Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes melanops","Black rockfish",2321,700,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",49.417653223595,0.146964145236459,2.05029610098954,42.7199550955174,8.42602885138929,0.109057250962829,33.9043262776203,12.3659732489379,"reef-associated",183,NA,0,366,183,274,3.9,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers","coastal",NA,NA,"California Current",67,-125.8641758,46.93107757,46.93107757,88173.54994,38,1968,2005,11.7793072790169,11.7058593779803,0.0232410259863065,11900,9114.73684210526,-130.114892220156,-0.0109340245563156,383.342105263158,38,1.79702631578947,38,1.20584210526316,11.7735129749333,0.00159571740795366,0.123817791833477,0.0183038877232506,0.0926719456571034,0.16543135536664,1.05857406153617,0.051421259964281,0.962437528706387,1.16431353758965,0.100176124022563,0.120694143038356,-0.136384396332614,0.33673664437774,"none",0.0126737689334418,0.00146603560525769,0.0101027920251263,0.0158990127262634,0.225536262099693,0.167094622358615,-0.101969197723192,0.553041721922579
"NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH","BLACKROCKSPCOAST","USA","US West Coast","Southern Pacific Coast","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes melanops","Black rockfish",4.58e+09,1064.6,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",49.417653223595,0.146964145236459,2.05029610098954,42.7199550955174,8.42602885138929,0.109057250962829,33.9043262776203,12.3659732489379,"reef-associated",183,NA,0,366,183,274,3.9,"hunting macrofauna (predator)","dioecism",NA,"bearers","internal live bearers","coastal",NA,NA,"California Current",77,-124.4654167,39.93407486,39.93407486,415322.5895,39,1968,2006,13.2741049677853,13.2950380470442,0.00998347815595536,27100,20002.5641025641,-251.599190283403,-0.00928410296248718,787.076923076923,39,1.95230769230769,39,0.490615384615385,13.284904399985,-0.000697491038850256,0.0617858740173442,0.0719083750923448,0.00631270401652373,0.604732016279346,1.16531099688433,0.247005524216475,0.769154026071042,1.7655107734353,-0.00414641208338589,0.0929865711283604,-0.186400091494972,0.1781072673282,"none",0.00711447235649768,0.000812323878720315,0.00568789413787565,0.00889885002857558,0.957194834202951,0.0501466571018231,0.858907386283377,1.05548228212252
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD","BLUEFISHATLC","USA","US East Coast","Atlantic Coast","Statistical catch at age model","ASAP","Age Structured Assessment Program","Pomatomus saltatrix","Bluefish",NA,15565,"finfish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","species",99.8537955516183,0.185448659582066,9.53800162994096,9.6392967700102,2.6779024375532,0.378864828443736,42.6989858778237,23.0941495489717,"pelagic-oceanic",100,"oceanodromous",0,200,NA,NA,4.08,"hunting macrofauna (predator)","dioecism",NA,NA,NA,"shelf",NA,NA,"Southeast U.S. Continental Shelf",31,-76.1216086,33.71666181,33.71666181,634594.1465,25,1982,2006,21.8022500510929,21.7759863506664,-0.00439573747592648,366000,155944,-7599.92307692308,-0.0207648171500631,21183.2,25,1.06036,25,1.11332,22.0203842585197,-0.00691008836069575,0.131211400710119,0.0208508338158136,0.0960958103578031,0.179159024854547,1.05291202126229,0.120914775576283,0.840697254758085,1.31869554497077,0.0850871090537459,0.160507126608932,-0.229506859099762,0.399681077207254,"none",0.0244235441783983,0.00345482424623702,0.0185097283401754,0.0322268106409455,-0.198078742379133,0.20182256837321,-0.593650976390626,0.197493491632359
"NWFSC-BLUEROCKCAL-1916-2007-BRANCH","BLUEROCKCAL","USA","US West Coast","California","Integrated Analysis","SS2","Stock Synthesis v2.0 model","Sebastes mystinus","Blue rockfish",2077,275,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",35.2447874084737,0.155359961966541,0.791072154376756,38.4375579327688,7.57864306042342,0.123828172163729,24.2142262622226,14.5922410584446,"reef-associated",275,NA,0,550,183,550,3.48,"variable","dioecism",NA,"bearers","internal live bearers",NA,NA,NA,"California Current",77,-124.7317904,39.1651994,39.1651994,163996.2477,47,1960,2006,12.9998994808047,13.0478596645489,-0.00219044443412428,13000,7230.85106382979,-228.752312673454,-0.0175963317441118,373.042553191489,47,1.10048936170213,47,1.6676170212766,12.9728845437678,-0.001860412856713,0.00860552090026651,0.00626223346295443,0.00206703020876909,0.0358267574662218,5.00060766434359,0.592657870872694,3.96404823179815,6.30821714329867,-0.00681070154985584,0.137223123566697,-0.275768023740582,0.262146620640871,"none",0.00645312761387108,0.000666298122547931,0.00527084693511056,0.00790060051327065,0.953426727343452,0.0452157480857396,0.864803861095402,1.0420495935915
