"assessid","stockid","mgmt","assessor","years","year","method","method1","method2","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","msy_true","b0_true","msy_true_units","b0_true_units","tl_nyrs","tl_avg","tl_units","tc_nyrs","tc_avg","tc_units","catch_type","catch_nyrs","catch_avg","catch_units","r_nyrs","r_avg","r_units","ssb_nyrs","ssb_avg","ssb_units","tb_nyrs","tb_avg","tb_units","tn_nyrs","tn_avg","tn_units","sp_model"
"SPC-ALBASPAC-1960-2010-PONS","ALBASPAC","WCPFC","SPC","1960-2010",2010,"Statistical catch at age model","MULTIFAN-CL","A length-based, age and spatially-structured model for fisheries stock assessment","multinational","Pacific Ocean","South Pacific Ocean","multinational-WCPFC-SPAC","Albacore tuna South Pacific Ocean","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore tuna",99085,721400,"MT","MT",0,NA,NA,51,42521.568627451,"MT","tc",51,42521.568627451,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"AFSC-ALPLAICBSAI-1972-2010-STACHURA","ALPLAICBSAI","NMFS","AFSC","1972-2010",2010,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Alaska","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Alaska plaice Bering Sea and Aleutian Islands","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Alaska plaice",NA,NA,NA,NA,0,NA,NA,36,15295,"MT","tc",36,15295,"MT",34,307676470.588235,"E00",36,286333.333333333,"MT",36,688638.888888889,"MT",0,NA,NA,"yes"
"DFO-AMPL23K-1960-2012-WATSON","AMPL23K","DFO","DFO","1960-2012",2012,"Unknown","unknown","Unknown","Canada","Canada East Coast","Labrador - NE Newfoundland","Canada-DFO-23K","American Plaice NAFO-23K","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",NA,NA,NA,NA,52,1135.82692307692,"MT",52,2278.92307692308,"MT","tc",52,2278.92307692308,"MT",0,NA,NA,0,NA,NA,34,90076.4705882353,"MT",34,342167647.058824,"E00","yes"
"NAFO-SC-AMPL3LNO-1955-2007-BAUM","AMPL3LNO","NAFO","NAFO-SC","1955-2007",2007,"VPA","VPA","Virtual Population Analysis","multinational","Canada East Coast","Grand Banks","multinational-NAFO-3LNO","American Plaice NAFO-3LNO","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",NA,NA,NA,NA,47,33502.4042553191,"MT",0,NA,NA,"tl",47,33502.4042553191,"MT",48,156514583.333333,"E00",48,91220.625,"MT",48,247762.5,"MT",0,NA,NA,"yes"
"NAFO-SC-AMPL3M-1960-2007-BAUM","AMPL3M","NAFO","NAFO-SC","1960-2007",2007,"VPA","XSA","Extended Survivor Analysis","multinational","Canada East Coast","Flemish Cap","multinational-NAFO-3M","American Plaice NAFO-3M","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",NA,NA,NA,NA,0,NA,NA,48,1203.66666666667,"MT","tc",48,1203.66666666667,"MT",20,2846250,"E00",20,3403.5,"MT",20,5126.5,"MT",0,NA,NA,"yes"
"DFO-AMPL3Ps-1960-2013-WATSON","AMPL3Ps","DFO","DFO","1960-2013",2013,"Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Canada","Canada East Coast","St. Pierre Bank","Canada-DFO-3Ps","American Plaice NAFO-3Ps","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",NA,NA,NA,NA,54,3009.25925925926,"MT",0,NA,NA,"tl",54,3009.25925925926,"MT",0,NA,NA,0,NA,NA,30,32.3,"index",30,145.236666666667,"index",NA
"DFO-AMPL4T-1965-2012-WATSON","AMPL4T","DFO","DFO","1965-2012",2012,"VPA","VPA","Virtual Population Analysis","Canada","Canada East Coast","Southern Gulf of St. Lawrence","Canada-DFO-4T","American plaice Southern Gulf of St. Lawrence","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",NA,NA,NA,NA,0,NA,NA,47,5303.34042553191,"MT","tc",47,5303.34042553191,"MT",32,674500000,"E00",37,119516.216216216,"MT",0,NA,NA,36,2259527777.77778,"E00",NA
"DFO-AMPL4VWX-1961-2010-WATSON","AMPL4VWX","DFO","DFO","1961-2010",2010,"Unknown","unknown","Unknown","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","American plaice Scotian Shelf and Bay of Fundy","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",5113,NA,"MT",NA,50,5632.2,"MT",0,NA,NA,"tl",50,5632.2,"MT",0,NA,NA,40,26002.5,"MT",0,NA,NA,0,NA,NA,NA
"NEFSC-AMPL5YZ-1960-2010-HIVELY","AMPL5YZ","NMFS","NEFSC","1960-2010",2010,"VPA","ADAPT","A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.","USA","US East Coast","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","American Plaice NAFO-5YZ","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","Hippoglossoides platessoides","American plaice",3385,NA,"MT",NA,51,4564.50980392157,"MT",0,NA,NA,"tl",51,4564.50980392157,"MT",31,27216774.1935484,"E00",31,12731.935483871,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA1-2002-2009-OSIO","ANCHMEDGSA1","GFCM","STECF","2002-2009",2009,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Northern Alboran Sea","multinational-GFCM-GSA1","Anchovy Northern Alboran Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,8,766.375,"MT","tc",8,766.375,"MT",8,193025000,"E00",8,1239.375,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA16-2004-2011-OSIO","ANCHMEDGSA16","GFCM","STECF","2004-2011",2011,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","South of Sicily","multinational-GFCM-GSA16","Anchovy South of Sicily","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,8,3771.25,"MT","tc",8,3771.25,"MT",8,567750000,"E00",8,13262.5,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA17-18-1976-2013-OSIO","ANCHMEDGSA17-18","GFCM","STECF","1976-2013",2013,"Statistical catch at age model","SAM","SAM","multinational","Mediterranean-Black Sea","Adriatic Sea (GSA 17,18)","multinational-GFCM-GSA17-18","Anchovy Adriatic Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,38,35632.3684210526,"MT","tc",38,35632.3684210526,"MT",38,80807894736.8421,"E00",38,433657.894736842,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA19-2006-2012-OSIO","ANCHMEDGSA19","GFCM","STECF","2006-2012",2012,"VPA","sepVPA","sepVPA","multinational","Mediterranean-Black Sea","Western Ionian Sea","multinational-GFCM-GSA19","Anchovy Western Ionian Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,7,1028.57142857143,"MT","tc",7,1028.57142857143,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA20-2000-2008-OSIO","ANCHMEDGSA20","GFCM","STECF","2000-2008",2008,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Eastern Ionian Sea","multinational-GFCM-GSA20","Anchovy Eastern Ionian Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,9,916.555555555556,"MT","tc",9,916.555555555556,"MT",9,729333333.333333,"E00",9,1091.55555555556,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA22-2000-2008-OSIO","ANCHMEDGSA22","GFCM","STECF","2000-2008",2008,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Aegean Sea","multinational-GFCM-GSA22","Anchovy Aegean Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,9,15693.3333333333,"MT","tc",9,15693.3333333333,"MT",9,24366666666.6667,"E00",9,22055.5555555556,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA29-1988-2014-OSIO","ANCHMEDGSA29","GFCM","STECF","1988-2014",2014,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Black Sea","multinational-GFCM-GSA29","Anchovy Black Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,27,239666.666666667,"MT","tc",27,239666.666666667,"MT",27,199362962962.963,"E00",27,524818.518518519,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANCHMEDGSA6-2002-2009-OSIO","ANCHMEDGSA6","GFCM","STECF","2002-2009",2009,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Northern Spain","multinational-GFCM-GSA6","Anchovy Northern Spain","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,8,6900,"MT","tc",8,6900,"MT",8,1333250000,"E00",8,19112.5,"MT",0,NA,NA,0,NA,NA,NA
"IFREMER-ANCHMEDGSA7-1993-2012-BANOBI","ANCHMEDGSA7","GFCM","IFREMER","1993-2012",2012,"Survey index","Acoustic","acoustic surveys","multinational","Mediterranean-Black Sea","Gulf of Lions","multinational-GFCM-GSA7","Anchovy Gulf of Lions","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,19,5001.05263157895,"MT",0,NA,NA,"tl",19,5001.05263157895,"MT",0,NA,NA,0,NA,NA,19,42484.2105263158,"MT",0,NA,NA,NA
"STECF-ANCHMEDGSA9-2004-2010-OSIO","ANCHMEDGSA9","GFCM","STECF","2004-2010",2010,"VPA","VIT","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","multinational","Mediterranean-Black Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Anchovy Ligurian and North Tyrrhenian Sea","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,7,2355.71428571429,"MT","tc",7,2355.71428571429,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","ANCHOBAYB","ICES","WGMHSA","1986-2007",2007,"Biomass dynamics model","BBM","Bayesian Biomass Model","multinational","Europe (EU)","Bay of Biscay","multinational-ICES-VIII","Anchovy ICES VIII","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,20,27450.5,"MT","tc",20,27450.5,"MT",21,52995.7142857143,"MT",21,54719.0476190476,"MT",0,NA,NA,0,NA,NA,NA
"MARAM-ANCHOSA-1984-2011-deMoor","ANCHOSA","DETMCM","MARAM","1984-2011",2011,"Biomass dynamics model","ASPM","Age-structured surplus production model","South Africa","South Africa","South Africa","South Africa-DETMCM-SA","Anchovy South Africa","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,28,235317.857142857,"MT",28,235317.857142857,"MT","tc",28,235317.857142857,"MT",27,482037037037.037,"E00",28,1856607.14285714,"MT",28,1856607.14285714,"MT",0,NA,NA,"yes"
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","ANCHOVYKILKACS","Iran","CSERG","1991-2007",2007,"Biomass dynamics model","AAPM","Age-aggregated surplus production model","Iran","Other","Iranian Caspian Sea","Iran-Iran-CS","Anchovy kilka Caspian Sea","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella","Clupeonella engrauliformis","Clupeonella engrauliformis","Anchovy kilka",44652,NA,"MT",NA,0,NA,NA,17,28781.1764705882,"MT","tc",17,28781.1764705882,"MT",10,25858.4,"MT",10,62726,"MT",10,110852,"MT",0,NA,NA,NA
"FAO-SPNWA-ANCHOWA-1990-2010-CHING","ANCHOWA","FAO","FAO-SPNWA","1990-2010",2010,"Yield per recruit model","UnknownYPRM","Unknown yield per recruit model","multinational","West Africa","West Africa","multinational-FAO-WA","Anchovy West Africa","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus","Engraulis encrasicolus","Anchovy",NA,NA,NA,NA,0,NA,NA,21,87838.0952380952,"MT","tc",21,87838.0952380952,"MT",0,NA,NA,0,NA,NA,11,128090.909090909,"MT",0,NA,NA,NA
"STECF-ANGLMEDGSA15-16-2006-2011-OSIO","ANGLMEDGSA15-16","GFCM","STECF","2006-2011",2011,"VPA","VIT","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","multinational","Mediterranean-Black Sea","Malta Island and South of Sicily (GSA 15, 16)","multinational-GFCM-GSA15-16","Black Bellied Angler Malta Island and South of Sicily","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Lophius budegassa","Black bellied angler",NA,NA,NA,NA,0,NA,NA,6,305.166666666667,"MT","tc",6,305.166666666667,"MT",2,1110000,"E00",2,757,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANGLMEDGSA5-2003-2013-OSIO","ANGLMEDGSA5","GFCM","STECF","2003-2013",2013,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Balearic Island","multinational-GFCM-GSA5","Black bellied angler Balearic Island","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Lophius budegassa","Black bellied angler",NA,NA,NA,NA,0,NA,NA,11,18.6818181818182,"MT","tc",11,18.6818181818182,"MT",11,149090.909090909,"E00",11,12.6836363636364,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANGLMEDGSA6-2004-2013-OSIO","ANGLMEDGSA6","GFCM","STECF","2004-2013",2013,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Northern Spain","multinational-GFCM-GSA6","Black bellied angler Northern Spain","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Lophius budegassa","Black bellied angler",NA,NA,NA,NA,0,NA,NA,10,717.8,"MT","tc",10,717.8,"MT",10,10313000,"E00",10,510.7,"MT",0,NA,NA,0,NA,NA,NA
"STECF-ANGLMEDGSA7-2005-2011-OSIO","ANGLMEDGSA7","GFCM","STECF","2005-2011",2011,"VPA","VIT","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","multinational","Mediterranean-Black Sea","Gulf of Lions","multinational-GFCM-GSA7","Black bellied angler Gulf of Lions","Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa","Lophius budegassa","Black bellied angler",NA,NA,NA,NA,0,NA,NA,7,288,"MT","tc",7,288,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"FAJ-APOLLPJPN-1975-2014-KUROTA","APOLLPJPN","FAFRFJ","FAJ","1975-2014",2014,"VPA","VPA","Virtual Population Analysis","Japan","Russia Japan","Pacific Coast of Japan","Japan-FAFRFJ-PJPN","Alaskan Pollock Pacific Coast of Japan","Actinopterygii","Gadiformes","Gadidae","Theragra","Theragra chalcogramma","Theragra chalcogramma","Walleye pollock",NA,NA,NA,NA,40,194925,"MT",40,194925,"MT","tc",40,194925,"MT",34,2140882352.94118,"E00",34,253529.411764706,"MT",34,1117558.82352941,"MT",0,NA,NA,"yes"
"DFO-QUE-ARCSURF4RST-1993-2014-OSGOOD","ARCSURF4RST","DFO","DFO-QUE","1993-2014",2014,"Survey index","RV","Temporal indices derived from scientific survey data","Canada","Canada East Coast","Gulf of St. Lawrence","Canada-DFO-4RST","Arctic surfclam Quebec and Gulf of St. Lawrence","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","Mactromeris polynyma","Arctic surfclam",NA,NA,NA,NA,22,586.409090909091,"MT",0,NA,NA,"tl",22,586.409090909091,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"DFO-MAR-ARCSURFBANQ-1986-2010-CHING","ARCSURFBANQ","DFO","DFO-MAR","1986-2010",2010,"Unknown","unknown","Unknown","Canada","Canada East Coast","Banquereau","Canada-DFO-BANQ","Arctic surfclam Banquereau","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","Mactromeris polynyma","Arctic surfclam",NA,NA,NA,NA,0,NA,NA,24,1312319.58333333,"MT","tc",24,1312319.58333333,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"DFO-ARCSURFGB-1989-2010-WATSON","ARCSURFGB","DFO","DFO","1989-2010",2010,"Survey index","SURBA","Survey based stock assessment method","Canada","Canada East Coast","Division 3LNO","Canada-DFO-3LNO","Arctic surfclam Grand Bank","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","Mactromeris polynyma","Arctic surfclam",NA,NA,NA,NA,22,6238.59090909091,"MT",0,NA,NA,"tl",22,6238.59090909091,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"DFO-QUE-ARCSURFQCW-1993-2011-CHING","ARCSURFQCW","DFO","DFO-QUE","1993-2011",2011,"Unknown","unknown","Unknown","Canada","Canada East Coast","Quebec Coastal Waters","Canada-DFO-QCW","Arctic surfclam Quebec Coastal Waters","Bivalvia","Veneroida","Mactridae","Mactromeris","Mactromeris polynyma","Mactromeris polynyma","Arctic surfclam",NA,NA,NA,NA,19,549.6,"MT",0,NA,NA,"tl",19,549.6,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"AFSC-ARFLOUNDBSAI-1970-2010-STACHURA","ARFLOUNDBSAI","NMFS","AFSC","1970-2010",2010,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Alaska","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder",NA,NA,NA,NA,0,NA,NA,40,13644.25,"MT","tc",40,13644.25,"MT",33,332469696.969697,"E00",35,398685.714285714,"MT",35,588314.285714286,"MT",0,NA,NA,"yes"
"AFSC-ARFLOUNDGA-1958-2010-STACHURA","ARFLOUNDGA","NMFS","AFSC","1958-2010",2010,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Arrowtooth flounder Gulf of Alaska","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias","Arrowtooth flounder",254271,NA,"MT",NA,0,NA,NA,47,11220.5957446809,"MT","tc",47,11220.5957446809,"MT",49,436551020.408163,"E00",50,601640,"MT",50,1198060,"MT",0,NA,NA,"yes"
"NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH","ARFLOUNDPCOAST","NMFS","NWFSC","1916-2007",2007,"Integrated Analysis","SS2","Stock Synthesis v2.0 model","USA","US West Coast","Pacific Coast","USA-NMFS-PCOAST","Arrowtooth flounder Pacific Coast","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Reinhardtius stomias","Arrowtooth flounder",5844,80313,"MT","MT",0,NA,NA,92,2233.04445652174,"MT","tc",92,2233.04445652174,"MT",92,29543913.0434783,"E00",92,64151.0869565217,"MT",92,81026.0869565217,"MT",0,NA,NA,"yes"
"INIDEP-ARGANCHONARG-1989-2007-Parma","ARGANCHONARG","CFP","INIDEP","1989-2007",2007,"VPA","ADAPT","A general approach to fitting VPA models. ADAPT is based on minimising the sum-of-squares over any number of indices of abundance to find best-fit parameters.","Argentina","South America","Northern Argentina","Argentina-CFP-ARG-N","Argentine anchoita Northern Argentina","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis anchoita","Engraulis anchoita","Argentine anchoita",424027.8,NA,"MT",NA,18,21264.4444444444,"MT",18,22007.2222222222,"MT","tc",18,22007.2222222222,"MT",18,166850000000,"E00",18,1499944.44444444,"MT",18,1942833.33333333,"MT",0,NA,NA,NA
